# Date: 2025-12-31
# Run Type: vt2
# Speed: 5.5 mph
# VT1 Threshold: 86.0 L/min
# VT2 Threshold: 126.0 L/min
# Intervals: 15
# Interval Duration: 3.0 min
# Recovery Duration: 1.0 min
#
timestamp,elapsed_sec,VE,HR,phase,speed
2025-12-31T14:00:34.866579Z,511.360,63,117,warmup,5.5
2025-12-31T14:00:37.386579Z,513.880,42,118,warmup,5.5
2025-12-31T14:00:38.946579Z,515.440,59,116,warmup,5.5
2025-12-31T14:00:40.386579Z,516.880,68,120,warmup,5.5
2025-12-31T14:00:41.706579Z,518.200,101,118,warmup,5.5
2025-12-31T14:00:43.266579Z,519.760,75,117,warmup,5.5
2025-12-31T14:00:44.786579Z,521.280,75,118,warmup,5.5
2025-12-31T14:00:46.026579Z,522.520,93,117,warmup,5.5
2025-12-31T14:00:47.426579Z,523.920,115,118,warmup,5.5
2025-12-31T14:00:49.066579Z,525.560,68,116,warmup,5.5
2025-12-31T14:00:50.346579Z,526.840,69,117,warmup,5.5
2025-12-31T14:00:51.626579Z,528.120,73,117,warmup,5.5
2025-12-31T14:00:52.986579Z,529.480,89,117,warmup,5.5
2025-12-31T14:00:54.586579Z,531.080,66,115,warmup,5.5
2025-12-31T14:00:56.026579Z,532.520,69,117,warmup,5.5
2025-12-31T14:00:57.546579Z,534.040,76,117,warmup,5.5
2025-12-31T14:00:58.986579Z,535.480,71,117,warmup,5.5
2025-12-31T14:01:00.426579Z,536.920,62,117,warmup,5.5
2025-12-31T14:01:01.826579Z,538.320,60,118,warmup,5.5
2025-12-31T14:01:03.306579Z,539.800,116,119,warmup,5.5
2025-12-31T14:01:05.146579Z,541.640,65,117,warmup,5.5
2025-12-31T14:01:06.586579Z,543.080,68,119,warmup,5.5
2025-12-31T14:01:08.026579Z,544.520,74,119,warmup,5.5
2025-12-31T14:01:09.506579Z,546.000,89,118,warmup,5.5
2025-12-31T14:01:11.066579Z,547.560,71,117,warmup,5.5
2025-12-31T14:01:12.546579Z,549.040,74,117,warmup,5.5
2025-12-31T14:01:13.986579Z,550.480,61,121,warmup,5.5
2025-12-31T14:01:15.386579Z,551.880,113,118,warmup,5.5
2025-12-31T14:01:17.266579Z,553.760,59,117,warmup,5.5
2025-12-31T14:01:18.786579Z,555.280,61,116,warmup,5.5
2025-12-31T14:01:20.106579Z,556.600,81,116,warmup,5.5
2025-12-31T14:01:21.386579Z,557.880,95,118,warmup,5.5
2025-12-31T14:01:22.866579Z,559.360,65,118,warmup,5.5
2025-12-31T14:01:24.226579Z,560.720,66,118,warmup,5.5
